dishId,userId,rating
998,9974,5
998,10340,5
998,12047,5
998,13451,5
998,9974,5
998,10340,5
998,12047,5
998,13451,5
998,18226,5
998,18226,5
998,209,5
998,209,5
998,2576,5
998,2576,5
743,14563,5
743,14563,5
743,6918,4
743,6918,4
743,7463,4
743,7463,4
743,15755,3
743,15755,3
743,13712,5
743,13712,5
745,5169,1
745,5169,1
745,342,5
745,342,5
1009,11719,5
1009,11719,5
257,16015,3
257,19390,4
257,16015,3
257,19390,4
257,10515,5
257,17230,5
257,10515,5
257,17230,5
257,14165,5
257,14165,5
257,6355,5
257,6355,5
257,4592,5
257,4592,5
257,6918,4
59,4578,4
59,4578,4
59,6748,5
59,6748,5
59,17963,4
59,5953,5
59,17963,4
59,5953,5
59,14331,4
59,999,4
59,14331,4
59,999,4
59,20110,4
59,20110,4
59,11719,5
59,11719,5
59,19167,5
59,19167,5
59,18639,5
59,9156,5
59,18639,5
59,9156,5
749,14944,5
749,14944,5
749,6748,5
749,6748,5
397,9609,4
397,9609,4
397,18467,5
397,18467,5
397,11332,5
397,13889,4
397,7476,5
397,11332,5
397,13889,4
397,7476,5
1157,115,5
1157,115,5
1157,16979,3
1157,16979,3
153,9132,5
153,9132,5
153,18485,5
153,18485,5
153,13025,4
153,13025,4
153,3398,5
153,3398,5
758,11956,5
758,18132,5
758,14435,5
758,8153,5
758,19988,5
758,7975,1
758,225,5
758,12575,5
758,417,5
758,11956,5
758,18132,5
758,14435,5
758,8153,5
758,19988,5
758,7975,1
758,225,5
758,12575,5
758,417,5
758,16187,5
758,15446,5
758,8811,5
758,435,5
758,3900,5
758,13544,3
758,11767,5
758,14502,5
758,8388,5
758,10037,5
758,10612,5
758,15462,5
758,1127,5
758,9843,4
758,7541,5
758,15933,5
758,7117,4
758,1208,5
758,4499,5
758,15792,5
758,6545,4
758,15887,5
758,16245,5
758,18226,5
758,14240,4
758,20383,5
758,1977,5
758,19035,4
758,8887,3
758,7502,4
758,16187,5
758,15446,5
758,8811,5
758,435,5
758,3900,5
758,13544,3
758,11767,5
758,14502,5
758,8388,5
758,10037,5
758,10612,5
758,15462,5
758,1127,5
758,9843,4
758,7541,5
758,15933,5
758,7117,4
758,1208,5
758,4499,5
758,15792,5
758,6545,4
758,15887,5
758,16245,5
758,18226,5
758,14240,4
758,20383,5
758,1977,5
758,19035,4
758,8887,3
758,7502,4
758,1527,5
758,14250,5
758,19052,5
758,9710,5
758,5646,5
758,20656,5
758,8266,5
758,11469,5
758,12079,5
758,11321,5
758,8864,5
758,9472,5
758,19482,5
758,18000,4
758,18690,5
758,18225,5
758,20053,4
758,5033,5
758,18413,4
758,1031,5
758,15612,5
758,11192,5
758,5243,5
758,8241,5
758,1527,5
758,14250,5
758,19052,5
758,9710,5
758,5646,5
758,20656,5
758,8266,5
758,11469,5
758,12079,5
758,11321,5
758,8864,5
758,9472,5
758,19482,5
758,18000,4
758,18690,5
758,18225,5
758,20053,4
758,5033,5
758,18413,4
758,1031,5
758,15612,5
758,11192,5
758,5243,5
758,8241,5
758,4388,4
758,17119,5
758,1801,4
758,9533,4
758,3522,4
758,17973,5
758,12566,4
758,5226,4
758,2469,5
758,3218,5
758,4388,4
758,17119,5
758,1801,4
758,9533,4
758,3522,4
758,17973,5
758,12566,4
758,5226,4
758,2469,5
758,3218,5
758,8621,5
758,10609,5
758,2739,5
758,17610,5
758,1073,4
758,9225,5
758,5816,5
758,7050,5
758,15792,5
758,14891,4
758,4108,5
758,16073,5
758,7107,5
758,9196,4
758,9159,5
758,12489,5
758,7083,5
758,15956,5
758,17170,5
758,16276,5
758,2851,5
758,8621,5
758,10609,5
758,2739,5
758,17610,5
758,1073,4
758,9225,5
758,5816,5
758,7050,5
758,15792,5
758,14891,4
758,4108,5
758,16073,5
758,7107,5
758,9196,4
758,9159,5
758,12489,5
758,7083,5
758,15956,5
758,17170,5
758,16276,5
758,2851,5
758,17318,5
758,8785,4
758,17318,5
758,8785,4
758,1369,4
758,1369,4
758,17780,5
758,13636,5
758,11688,4
758,3345,5
758,952,5
758,17780,5
758,13636,5
758,11688,4
758,3345,5
758,952,5
758,14763,4
758,19767,5
758,15517,5
758,19094,5
758,14763,4
758,19767,5
758,15517,5
758,19094,5
758,10126,5
758,10126,5
758,11336,5
